Place_Name,Category,City,Price,Rating,Type,is_holiday,holiday_type,Low_Days,Medium_Days,High_Days,Weather_Suitability,Ideal_Duration,Meal_Type,Latitude,Longitude,Open_Hour,Close_Hour,Time_Slot
Pasar Tanah Abang,Wisata - Pusat Perbelanjaan,Jakarta,0,4.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,81,None,-6.189009599999999,106.8119312,08:00:00,16:00:00,Afternoon
Pecinan Glodok,Wisata - Pusat Perbelanjaan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,100,None,-6.142758799999999,106.8140791,07:00:00,16:00:00,Evening
Sea World,Wisata - Taman Hiburan,Jakarta,115000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",88,None,-6.126477500000001,106.842963,08:00:00,19:00:00,Evening
Wisata Agro Edukatif Istana Susu Cibugary,Wisata - Taman Hiburan,Jakarta,35000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",137,None,-6.3568093,106.9062371,09:00:00,19:00:00,Evening
Wisata Kuliner Pecenongan,Wisata - Pusat Perbelanjaan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,89,None,-6.166788700000001,106.8265261,09:00:00,17:00:00,Afternoon
Taman Menteng,Wisata - Taman Hiburan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",119,None,-6.1964087,106.8293106,09:00:00,20:00:00,Evening
Wisata Alam Mangrove Angke,Wisata - Cagar Alam,Jakarta,25000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,130,None,-6.105334,106.735584,09:00:00,20:00:00,Afternoon
Setu Babakan,Wisata - Budaya,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",178,None,-6.341666699999999,106.8238889,08:00:00,19:00:00,Afternoon
Taman Suropati,Wisata - Taman Hiburan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",169,None,-6.1994034,106.8326228,10:00:00,17:00:00,Evening
Pasar Taman Puring,Wisata - Pusat Perbelanjaan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,120,None,-6.241368999999999,106.7890587,09:00:00,20:00:00,Morning
Grand Indonesia Mall,Wisata - Pusat Perbelanjaan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,85,None,-6.195180099999999,106.8204412,10:00:00,20:00:00,Afternoon
Skyrink - Mall Taman Anggrek,Wisata - Taman Hiburan,Jakarta,110000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",174,None,-6.178996,106.791941,08:00:00,16:00:00,Evening
Bumi Perkemahan Cibubur,Wisata - Taman Hiburan,Jakarta,10000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",114,None,-6.360248700000001,106.893842,09:00:00,17:00:00,Morning
Istana Negara Republik Indonesia,Wisata - Budaya,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",84,None,-6.168069000000001,106.8239727,08:00:00,18:00:00,Morning
Museum Macan (Modern and Contemporary Art in Nusantara),Wisata - Budaya,Jakarta,100000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",120,None,-6.190942,106.767622,07:00:00,17:00:00,Afternoon
Galeri Nasional Indonesia,Wisata - Budaya,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",66,None,-6.178548200000001,106.8327716,10:00:00,19:00:00,Morning
Museum Bahari Jakarta,Wisata - Budaya,Jakarta,2000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",123,None,-6.1269553,106.8085899,09:00:00,16:00:00,Afternoon
Museum Seni Rupa dan Kramik,Wisata - Budaya,Jakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",135,None,-6.1342598,106.814552,08:00:00,19:00:00,Morning
The Escape Hunt,Wisata - Taman Hiburan,Jakarta,70000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",143,None,-6.2555033,106.8122591,08:00:00,20:00:00,Evening
Monumen Selamat Datang,Wisata - Budaya,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",139,None,-6.194997799999999,106.8230496,08:00:00,17:00:00,Afternoon
Jakarta Aquarium dan Safari,Wisata - Taman Hiburan,Jakarta,185000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",156,None,-6.1752647,106.7904684,09:00:00,18:00:00,Afternoon
Pulau Semak Daun,Wisata - Bahari,Jakarta,40000,4.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,86,None,-5.729671599999999,106.5714158,10:00:00,17:00:00,Afternoon
Taman Situ Lembang,Wisata - Taman Hiburan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",106,None,-6.1978861,106.8346708,10:00:00,17:00:00,Afternoon
Taman Ismail Marzuki,Wisata - Budaya,Jakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",89,None,-6.1891586,106.8397738,10:00:00,20:00:00,Morning
Galeri Indonesia Kaya,Wisata - Budaya,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",104,None,-6.1948499,106.8200607,07:00:00,19:00:00,Morning
Museum Joang 45,Wisata - Budaya,Jakarta,2000,4.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",117,None,-6.186183799999998,106.8364761,08:00:00,20:00:00,Afternoon
Jakarta Planetarium,Wisata - Taman Hiburan,Jakarta,12000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",79,None,-6.190081899999999,106.8388532,08:00:00,20:00:00,Evening
Kampung Cina,Wisata - Budaya,Jakarta,15000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",90,None,-6.3651357,106.7617984,08:00:00,19:00:00,Afternoon
Rumah Sipitung,Wisata - Budaya,Jakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",173,None,-6.10016,106.96057,08:00:00,20:00:00,Afternoon
Taman Agrowisata Cilangkap,Wisata - Taman Hiburan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",140,None,-6.340151399999999,106.9012561,07:00:00,20:00:00,Morning
Klenteng Jin De Yuan,Wisata - Tempat Ibadah,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,65,None,-6.144473700000001,106.8126018,09:00:00,16:00:00,Morning
Pantai Ancol,Wisata - Bahari,Jakarta,25000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,88,None,-6.1194215,106.8502435,08:00:00,20:00:00,Afternoon
Taman Lapangan Banteng,Wisata - Taman Hiburan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",157,None,-6.170554999999999,106.8350378,07:00:00,19:00:00,Afternoon
Taman Ayodya,Wisata - Taman Hiburan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",128,None,-6.245229400000001,106.7946655,10:00:00,17:00:00,Morning
Museum Sumpah Pemuda,Wisata - Budaya,Jakarta,2000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",144,None,-6.183838799999999,106.8430507,07:00:00,19:00:00,Afternoon
Museum Tekstil,Wisata - Budaya,Jakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",166,None,-6.187963400000002,106.8096081,07:00:00,16:00:00,Afternoon
Tugu Proklamasi,Wisata - Budaya,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",159,None,-6.2030468,106.8466623,09:00:00,20:00:00,Afternoon
Taman Legenda Keong Emas,Wisata - Taman Hiburan,Jakarta,30000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",159,None,-6.303904200000001,106.8936219,10:00:00,19:00:00,Evening
Museum Kebangkitan Nasional,Wisata - Budaya,Jakarta,2000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",154,None,-6.178352,106.838094,08:00:00,20:00:00,Afternoon
Museum Sasmita Loka Ahmad Yani,Wisata - Budaya,Jakarta,2000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",148,None,-6.204630300000001,106.8365324,07:00:00,20:00:00,Morning
Museum Basoeki Abdullah,Wisata - Budaya,Jakarta,1000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",152,None,-6.289788499999998,106.7932681,10:00:00,17:00:00,Morning
Museum Layang-layang,Wisata - Budaya,Jakarta,10000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",123,None,-6.3080282,106.790548,07:00:00,17:00:00,Morning
Margasatwa Muara Angke,Wisata - Cagar Alam,Jakarta,25000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,77,None,-6.1160075,106.7692016,07:00:00,19:00:00,Afternoon
Pasar Petak Sembilan,Wisata - Pusat Perbelanjaan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,146,None,-6.143672200000001,106.8129398,08:00:00,18:00:00,Morning
Freedom Library,Wisata - Budaya,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",89,None,-6.202248200000001,106.8451968,10:00:00,18:00:00,Afternoon
Perpustakaan Nasional,Wisata - Budaya,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",139,None,-6.181291799999999,106.8268717,09:00:00,20:00:00,Morning
Cibubur Garden Diary (Cibugary),Wisata - Cagar Alam,Jakarta,50000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,148,None,-6.379996900000001,106.8949793,07:00:00,20:00:00,Morning
Waterboom PIK (Pantai Indah Kapuk),Wisata - Taman Hiburan,Jakarta,300000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",103,None,-6.113655899999999,106.7478596,09:00:00,16:00:00,Morning
Museum Perangko,Wisata - Budaya,Jakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",60,None,-6.304184100000001,106.9017725,09:00:00,16:00:00,Afternoon
Museum Tengah Kebun,Wisata - Budaya,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",76,None,-6.267513,106.824107,10:00:00,18:00:00,Afternoon
SnowBay Waterpark,Wisata - Taman Hiburan,Jakarta,180000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",76,None,-6.299271800000001,106.89151,08:00:00,20:00:00,Morning
Taman Cattleya,Wisata - Taman Hiburan,Jakarta,20000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",166,None,-6.181084299999999,106.7954476,09:00:00,20:00:00,Morning
Taman Hutan Tebet,Wisata - Taman Hiburan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",62,None,-6.237140900000001,106.8526505,10:00:00,20:00:00,Afternoon
Hutan Kota Srengseng,Wisata - Taman Hiburan,Jakarta,1000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",169,None,-6.210694499999999,106.7643954,07:00:00,19:00:00,Evening
Taman Spathodea,Wisata - Taman Hiburan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",65,None,-6.3226133,106.8241871,07:00:00,19:00:00,Afternoon
Plaza Indonesia,Wisata - Pusat Perbelanjaan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,73,None,-6.193925900000002,106.8222158,09:00:00,16:00:00,Morning
Mall Thamrin City,Wisata - Pusat Perbelanjaan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,61,None,-6.1946096,106.817905,09:00:00,18:00:00,Evening
Museum Satria Mandala,Wisata - Budaya,Jakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",154,None,-6.231698499999999,106.8185425,10:00:00,17:00:00,Afternoon
Alive Museum Ancol,Wisata - Taman Hiburan,Jakarta,200000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",124,None,-6.117534399999999,106.857313,08:00:00,17:00:00,Evening
Kawasan Kuliner BSM,Wisata - Pusat Perbelanjaan,Jakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,162,None,-6.184258799999999,106.824033,10:00:00,16:00:00,Afternoon
Taman Pintar Yogyakarta,Wisata - Taman Hiburan,Yogyakarta,6000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",121,None,-7.800671500000001,110.3676551,08:00:00,19:00:00,Afternoon
Keraton Yogyakarta,Wisata - Budaya,Yogyakarta,15000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",105,None,-7.8052845,110.3642031,07:00:00,20:00:00,Morning
Sindu Kusuma Edupark (SKE),Wisata - Taman Hiburan,Yogyakarta,20000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",173,None,-7.767297300000001,110.3542486,09:00:00,16:00:00,Evening
Museum Benteng Vredeburg Yogyakarta,Wisata - Budaya,Yogyakarta,3000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",172,None,-7.800201599999999,110.3663044,08:00:00,20:00:00,Morning
De Mata Museum Jogja,Wisata - Budaya,Yogyakarta,50000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",163,None,-7.816315599999999,110.3871442,09:00:00,18:00:00,Morning
Kampung Wisata Taman Sari,Wisata - Taman Hiburan,Yogyakarta,5000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",118,None,-7.8100673,110.3594581,10:00:00,18:00:00,Evening
Situs Warungboto,Wisata - Taman Hiburan,Yogyakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",80,None,-7.8102685,110.3931513,07:00:00,19:00:00,Afternoon
Nol Kilometer Jl.Malioboro,Wisata - Taman Hiburan,Yogyakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",109,None,-7.8013803,110.3647652,08:00:00,19:00:00,Afternoon
Gembira Loka Zoo,Wisata - Cagar Alam,Yogyakarta,60000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday",Sunny,150,None,-7.806234399999999,110.3967977,09:00:00,18:00:00,Afternoon
Sumur Gumuling,Wisata - Taman Hiburan,Yogyakarta,7000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",100,None,-7.808791100000001,110.3591825,09:00:00,19:00:00,Morning
Desa Wisata Sungai Code Jogja Kota,Wisata - Taman Hiburan,Yogyakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",129,None,-7.822908900000001,110.3756894,08:00:00,17:00:00,Afternoon
Alun Alun Selatan Yogyakarta,Wisata - Taman Hiburan,Yogyakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",132,None,-7.8116719,110.363238,10:00:00,19:00:00,Afternoon
Monumen Yogya Kembali,Wisata - Budaya,Yogyakarta,15000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",80,None,-7.7495904,110.3696068,07:00:00,17:00:00,Afternoon
Taman Pelangi Yogyakarta,Wisata - Taman Hiburan,Yogyakarta,15000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",70,None,-7.7505259,110.3687049,08:00:00,19:00:00,Morning
Kampung Wisata Kadipaten,Wisata - Budaya,Yogyakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",154,None,-7.806093000000001,110.35831,10:00:00,18:00:00,Morning
Taman Budaya Yogyakarta,Wisata - Budaya,Yogyakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",156,None,-7.8001041,110.3676579,09:00:00,20:00:00,Afternoon
Kampung Wisata Sosro Menduran,Wisata - Budaya,Yogyakarta,0,4.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",130,None,-7.792189999999999,110.362151,08:00:00,16:00:00,Afternoon
Monumen Batik Yogyakarta,Wisata - Budaya,Yogyakarta,40000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",99,None,-7.8011159,110.3646172,08:00:00,16:00:00,Morning
Tugu Pal Putih Jogja,Wisata - Taman Hiburan,Yogyakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",115,None,-7.782943699999998,110.3670548,09:00:00,17:00:00,Evening
Tebing Breksi,Wisata - Budaya,Yogyakarta,20000,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",79,None,-7.781571400000001,110.5045827,09:00:00,19:00:00,Morning
Candi Donotirto,Wisata - Budaya,Yogyakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny",112,None,-7.795561299999998,110.3612095,10:00:00,18:00:00,Afternoon
Kawasan Malioboro,Wisata - Taman Hiburan,Yogyakarta,0,5.0,Tourism,No,-,"Monday, Tuesday","Wednesday, Thursday, Friday","Saturday, Sunday","Cloudy, Sunny, Rainy",101,None,-7.793167,110.3655238,08:00:00,18:00:00,Evening
